epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.9318,1.08993,1.15609,1.2975,0.9409,0.96887,0.995,0.77798,0.86143,1.01308,1.12403,0.00013332,0.00013332,0.00013332
2,185.566,1.01203,1.15929,1.23744,0.967,0.95,0.98667,0.74305,0.91628,1.00216,1.18711,0.000273167,0.000273167,0.000273167
3,279.364,1.09358,1.13052,1.28891,0.96834,0.95646,0.995,0.71179,1.02691,0.98978,1.30054,0.000408248,0.000408248,0.000408248
4,366.952,1.02999,1.07795,1.21124,0.95467,1,0.995,0.70397,1.05319,1.02442,1.37034,0.000538563,0.000538563,0.000538563
5,453.82,1.03473,1.1054,1.24819,0.91914,0.95913,0.995,0.72089,1.11716,1.11088,1.38027,0.000664111,0.000664111,0.000664111
6,549.026,1.03455,1.16596,1.26575,0.89693,0.9679,0.97071,0.6857,1.14722,1.14315,1.43501,0.000784894,0.000784894,0.000784894
7,632.248,1.02312,1.136,1.20416,0.95921,0.9432,0.995,0.66818,1.16447,1.09577,1.45767,0.00090091,0.00090091,0.00090091
8,710.826,0.96493,1.04084,1.15955,0.97827,0.91441,0.995,0.6465,1.21401,1.20419,1.53122,0.000982679,0.000982679,0.000982679
9,792.822,1.04056,1.10753,1.24561,0.89657,0.86046,0.9114,0.54808,1.2995,1.50147,1.57999,0.000964348,0.000964348,0.000964348
10,873.511,0.9623,1.10127,1.17786,0.87382,0.81318,0.85765,0.50437,1.33478,1.71641,1.62958,0.000946016,0.000946016,0.000946016
11,953.578,1.02058,1.07187,1.21168,0.93824,0.82,0.91865,0.52667,1.44034,1.44107,1.78784,0.000927685,0.000927685,0.000927685
12,1039.76,1.05966,1.08889,1.24235,0.91711,0.94416,0.995,0.59796,1.33175,1.13908,1.75128,0.000909353,0.000909353,0.000909353
13,1121.47,1.01993,0.98325,1.20629,0.90947,0.93957,0.98667,0.58912,1.29365,1.09894,1.73483,0.000891022,0.000891022,0.000891022
14,1202.01,0.98987,1.0798,1.18118,0.93373,0.90509,0.95971,0.61619,1.41112,1.13409,1.66976,0.000872691,0.000872691,0.000872691
15,1279.11,0.9579,1.03179,1.20349,0.8567,0.90112,0.9386,0.57759,1.56542,1.4062,1.73776,0.000854359,0.000854359,0.000854359
16,1358.91,1.02961,1.08599,1.26552,0.87976,0.92815,0.94462,0.57248,1.4405,1.16522,1.68814,0.000836027,0.000836027,0.000836027
